id,severity,category,location,summary,evidence,why_it_matters,fix,effort,status
F-01,Critical,Security,src/lib/current-person.ts:24; src/app/actions.ts:642&666,Identity cookie is unsigned and httpOnly:false,"jar.set(PERSON_COOKIE, id, {path:'/', sameSite:'lax', httpOnly:false}) — no signature, no secure flag; currentPerson() trusts the value if it names any sign-in persona",Anyone can set the cookie in devtools and become any persona including administrator; every server-side authority check downstream keys off an identity nobody proved,Signed session cookie at minimum; SSO at the edge properly,M,open
F-02,High,Dependencies,package.json,32 advisories / 14 high; Next pinned below patched versions,"pnpm audit --prod: 2 low, 16 moderate, 14 high; advisories require next>=15.5.15/16/18/21 against pinned 15.3.9",Deliberate G-58 pin (15.5 broke client nav: 3 of 15 clicks) now conflicts with a large security backlog,Re-test 15.5.x against demo:prod and the walk or formally accept with an expiry,M,open
F-03,High,CI/CD,.github/workflows/ci.yml,CI never runs the end-to-end suite,CI runs typecheck + pnpm test + agent tests only; no Playwright step,NFR-7 requires E2E on rendered DOM; the tier that proves journeys runs only on a developer laptop,Add a Playwright job with a Postgres service and E2E_DATABASE_URL,S,open
F-04,High,Style,repo root,No linter and no formatter configured anywhere,No .eslintrc/eslint.config/.prettierrc; no lint or format script in package.json,SPEC opens with a clean-code charter that nothing mechanically enforces for style,ESLint next/core-web-vitals + Prettier --check wired into CI,S,open
F-05,Medium,Spec,SPEC.md §11 vs §20,§11 asserts mechanical gates that do not exist,"§11: 'File budgets enforced mechanically (components <=400 lines; hard ceiling 800)' and 'an unused-export gate keeps it dead' (present tense). §20 NFR-6: 'gate on from S10'. S10 not started. src/app/styles/assistant.css = 4772 lines",A charter rule with no enforcement is invisible to the suite and the verifier — the failure mode G-37/G-56/G-60/G-65 each record,Build the file-budget test (~15 lines derived from the tree) or move §11 to future tense,M,open
F-06,Medium,Dead code,src/app/person-switcher.tsx; src/app/actions.ts:634,Orphaned component and its server action,"Zero importers repo-wide; git log -S PersonSwitcher shows replacement by the app bar at db6aa04; switchPerson had no other caller",§11 requires dead code deleted in the change that orphans it,Delete both in one commit,S,open
F-07,Medium,Traceability,SPEC.md §20,27 of 69 requirements cited by no test,"grep of FR-/NFR- IDs across test/ and e2e/; eight worst checked by hand — all had real untagged coverage (FR-38 queue-view.test.ts, FR-25 personas.spec.ts, NFR-14 architecture.test.ts)",Coverage exists but the register cannot be checked mechanically so silent loss of coverage goes unnoticed,Cite requirement IDs in tests; add a test asserting every register row is cited,M,open
F-08,Medium,Documentation,.claude/skills/verify/SKILL.md:6,Expiring DEMO PUSH banner suspends the gate chain,"'DEMO PUSH until 2026-08-26 (G-70). The chain below is suspended per change.' — expires today; G-70 carries the same date",An expired instruction telling an agent to skip testing is the most expensive kind of stale,Delete the banner block,S,open
F-09,Low,Dead code,.repro.mjs,Tracked throwaway script referenced nowhere,"16 lines, tracked since 6b25e6e, zero references; .gitignore covers .verify-* .diag* .chip-* but not .repro*",Throwaway artifacts in the tree erode the signal of what is real,Delete and add .repro* to .gitignore,S,open
F-10,Low,Structure,repo root,No LICENSE and no CONTRIBUTING.md,repo_inventory.py essential-files check,Ownership and contribution terms unstated,Add both,S,open
F-11,Info,Dead code,src/lib/attachments.ts,Unreferenced module for a blocked slice,"Only mention outside the file is a comment in src/lib/schema.ts:287; S4.6 blocked on §3.6",May be deliberately retained — deleting a blocked slice's groundwork is worse than keeping it,Owner question before any action,,open
